Send,Receive,diff,Diff 2,time error
2018-10-02T17:01:36.683,2018-10-02T17:01:37.004,0.321,0.321,-0.094 -0.081
2018-10-02T17:01:37.709,2018-10-02T17:01:37.984,0.275,0.275,-0.094 -0.081
2018-10-02T17:01:38.736,2018-10-02T17:01:38.927,0.191,0.191,-0.094 -0.081
2018-10-02T17:01:39.762,2018-10-02T17:01:39.969,0.207,0.207,-0.094 -0.081
2018-10-02T17:01:40.787,2018-10-02T17:01:41.164,0.377,0.377,-0.094 -0.081
2018-10-02T17:01:41.813,2018-10-02T17:01:42.140,0.327,0.327,-0.094 -0.081
2018-10-02T17:01:42.837,2018-10-02T17:01:43.072,0.235,0.235,-0.094 -0.081
2018-10-02T17:01:43.862,2018-10-02T17:01:43.963,0.101,0.101,-0.094 -0.081
2018-10-02T17:01:44.885,2018-10-02T17:01:44.993,0.108,0.108,-0.094 -0.081
2018-10-02T17:01:45.912,2018-10-02T17:01:46.283,0.371,0.371,-0.094 -0.081
2018-10-02T17:01:46.936,2018-10-02T17:01:47.578,0.642,0.642,-0.094 -0.081
2018-10-02T17:01:47.970,2018-10-02T17:01:48.126,0.156,0.156,-0.094 -0.081
2018-10-02T17:01:49.040,2018-10-02T17:01:49.144,0.104,0.104,-0.094 -0.081
2018-10-02T17:01:50.075,2018-10-02T17:01:50.766,0.691,0.691,-0.094 -0.081
2018-10-02T17:01:51.103,2018-10-02T17:01:51.229,0.126,0.126,-0.094 -0.081
2018-10-02T17:01:52.129,2018-10-02T17:01:52.351,0.222,0.222,-0.094 -0.081
2018-10-02T17:01:53.153,2018-10-02T17:01:53.649,0.496,0.496,-0.094 -0.081
2018-10-02T17:01:54.180,2018-10-02T17:01:54.377,0.197,0.197,-0.094 -0.081
2018-10-02T17:01:55.208,2018-10-02T17:01:55.897,0.689,0.689,-0.094 -0.081
2018-10-02T17:01:56.234,2018-10-02T17:01:56.362,0.128,0.128,-0.094 -0.081
2018-10-02T17:01:57.258,2018-10-02T17:01:57.468,0.21,0.21,-0.094 -0.081
2018-10-02T17:01:58.288,2018-10-02T17:01:58.445,0.157,0.157,-0.094 -0.081
2018-10-02T17:01:59.314,2018-10-02T17:01:59.736,0.422,0.422,-0.094 -0.081
2018-10-02T17:02:00.340,2018-10-02T17:02:00.474,0.134,0.134,-0.094 -0.081
2018-10-02T17:02:01.371,2018-10-02T17:02:01.634,0.263,0.263,-0.094 -0.081
2018-10-02T17:02:02.396,2018-10-02T17:02:02.599,0.203,0.203,-0.094 -0.081
2018-10-02T17:02:03.420,2018-10-02T17:02:03.875,0.455,0.455,-0.094 -0.081
2018-10-02T17:02:04.446,2018-10-02T17:02:04.604,0.158,0.158,-0.094 -0.081
2018-10-02T17:02:05.473,2018-10-02T17:02:05.801,0.328,0.328,-0.094 -0.081
2018-10-02T17:02:06.496,2018-10-02T17:02:06.774,0.278,0.278,-0.094 -0.081
2018-10-02T17:02:07.521,2018-10-02T17:02:08.047,0.526,0.526,-0.094 -0.081
2018-10-02T17:02:08.546,2018-10-02T17:02:08.684,0.138,0.138,-0.094 -0.081
2018-10-02T17:02:09.569,2018-10-02T17:02:09.970,0.401,0.401,-0.094 -0.081
2018-10-02T17:02:10.591,2018-10-02T17:02:10.913,0.322,0.322,-0.094 -0.081
2018-10-02T17:02:11.618,2018-10-02T17:02:11.884,0.266,0.266,-0.094 -0.081
2018-10-02T17:02:12.643,2018-10-02T17:02:12.851,0.208,0.208,-0.094 -0.081
2018-10-02T17:02:13.675,2018-10-02T17:02:14.428,0.753,0.753,-0.094 -0.081
2018-10-02T17:02:14.703,2018-10-02T17:02:14.835,0.132,0.132,-0.094 -0.081
2018-10-02T17:02:15.733,2018-10-02T17:02:15.843,0.11,0.11,-0.094 -0.081
2018-10-02T17:02:16.757,2018-10-02T17:02:16.890,0.133,0.133,-0.094 -0.081
2018-10-02T17:02:17.783,2018-10-02T17:02:17.901,0.118,0.118,-0.094 -0.081
2018-10-02T17:02:18.807,2018-10-02T17:02:18.930,0.123,0.123,-0.094 -0.081
2018-10-02T17:02:19.831,2018-10-02T17:02:20.199,0.368,0.368,-0.094 -0.081
2018-10-02T17:02:20.858,2018-10-02T17:02:21.168,0.31,0.31,-0.094 -0.081
2018-10-02T17:02:21.895,2018-10-02T17:02:22.120,0.225,0.225,-0.094 -0.081
2018-10-02T17:02:22.919,2018-10-02T17:02:23.075,0.156,0.156,-0.094 -0.081
2018-10-02T17:02:23.943,2018-10-02T17:02:24.357,0.414,0.414,-0.094 -0.081
2018-10-02T17:02:24.975,2018-10-02T17:02:25.092,0.117,0.117,-0.094 -0.081
